"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976056946324357397","Wed Oct 08 22:47:44 +0000 2025","93","I m very confused Fuentes went from Kamala and no Trump to if a Democrat wins he s leaving in 2029? But no Vance also? Btw. I agree. If Democrats win next election and we don t get a strong 8-12 years we are royalty fucked. They will want us killed &amp; in gulags. Vance 28","1976056946324357397","","","en","","0","30","3","https://x.com/undefined/status/1976056946324357397","1503549194996527106",
"1976056908340445253","Wed Oct 08 22:47:34 +0000 2025","17","Winning Uncorrupt Appeals Court lifts the Corroupt Judge Karin Immergut's order blocking President Trump from federalizing Oregon National Guard Troops. https://t.co/1pLxJQEUlS https://t.co/bf7WfbGW9c","1976056908340445253","https://pbs.twimg.com/media/G2xdSVpWkAEiqXu.jpg","","en","","1","2","7","https://x.com/undefined/status/1976056908340445253","1599531430014590976",
"1976056894440497351","Wed Oct 08 22:47:31 +0000 2025","935","Make no mistake: trump Mike Johnson and the majority of Republicans in Congress are actively blocking the Epstein files from being fully released. trump is going to pardon Ghislaine Maxwell. Not ONE wealthy pedo is going to face justice. IS THAT WHAT YOU VOTED FOR MAGA?","1976056894440497351","","","en","","9","98","287","https://x.com/undefined/status/1976056894440497351","1640929196",
"1976056819165298917","Wed Oct 08 22:47:13 +0000 2025","8","We are so proud of you President Trump. I have every confidence we are going to see the hostages back thanks to the efforts of our incredible president @POTUS","1976056819165298917","","","en","","0","2","0","https://x.com/undefined/status/1976056819165298917","25928003",
"1976056703968813526","Wed Oct 08 22:46:46 +0000 2025","6","Trump is helping install a new AG in FL who has been involved with the alleged nonprofit frauds of a DeSantis-affiliated 501(c)3 run by DeSantis' wife that disappeared millions in funds. https://t.co/CMmtXq8Skc More on the disgraced nonprofit: https://t.co/ndMojnUxv3","1976056703968813526","","","en","","1","0","1","https://x.com/undefined/status/1976056703968813526","444013871",
"1976056613351170345","Wed Oct 08 22:46:24 +0000 2025","217","Donald Trump seems to think habeas corpus is a person based on new video from today. This is getting so bad that even Jesse Watters on Fox nEws had to declare today that Trump definitely doesn t have dementia","1976056613351170345","","","en","","1","24","13","https://x.com/undefined/status/1976056613351170345","21514744",
"1976056567159242784","Wed Oct 08 22:46:13 +0000 2025","9","This is the game that the tools of left wing white supremacy play that they hope we don't notice They misrepresent the truth Are republicans racist...yes Is trump racist....yes Is that why brandon is being targeted....no Has brandon ever fought for us like he does illegals...NO","1976056567159242784","","","en","","0","0","0","https://x.com/undefined/status/1976056567159242784","1144110127928229888",
"1976056543155048721","Wed Oct 08 22:46:07 +0000 2025","335","ESPN @espn isn t punishing @finebaum. This is likely a fake scandal that was probably orchestrated by @ClayTravis and some RINO consultant who is trying to soft launch a US Senate campaign in Alabama for Trump hater @finebaum. Paul Finebaum can t and won t ever win in","1976056543155048721","","","en","","3","47","101","https://x.com/undefined/status/1976056543155048721","537709549",
"1976056518014390639","Wed Oct 08 22:46:01 +0000 2025","53","Bishops need to address Trump immigration crackdown: Pope Leo https://t.co/eqs47gL0ik","1976056518014390639","","","en","","4","71","17","https://x.com/undefined/status/1976056518014390639","1917731",
"1976056517947281674","Wed Oct 08 22:46:01 +0000 2025","5","Let me be clear: President Trump s show of force in Chicagoland has one goal. He is trying to divide and scare us into submission. His authoritarian overreach is an attack on every single American. We are one nation one people not divided or divisible. We will not back down. https://t.co/jWXNaM2irk","1976056517947281674","https://pbs.twimg.com/media/G2xc7UGW8AADr3T.jpg","","en","","0","6","1","https://x.com/undefined/status/1976056517947281674","278005891",
"1976056498267783451","Wed Oct 08 22:45:57 +0000 2025","148","Wow Trump did it.","1976056498267783451","","","en","","0","17","12","https://x.com/undefined/status/1976056498267783451","1054152220705382400",
"1976056487416914360","Wed Oct 08 22:45:54 +0000 2025","5","I love how the Trump administration is just absolutely shredding the constitution and the Democrats are like meh. Has anyone heard them talking about this fascist takeover of our government much less what they're proposing to do about it?","1976056487416914360","","","en","","0","0","0","https://x.com/undefined/status/1976056487416914360","796928150357901312",
